drug_1,drug_2,interaction
clomipramine,methylphenidate,0
clomipramine,buspirone,0
clomipramine,naltrexone,0
methylphenidate,buspirone,0
methylphenidate,naltrexone,0
buspirone,naltrexone,0
granisetron,mosapride,0
palbociclib,ribociclib,0
palbociclib,letrozole,1
palbociclib,anastrozole,1
palbociclib,fulvestrant,1
ribociclib,letrozole,0
ribociclib,anastrozole,0
ribociclib,fulvestrant,0
letrozole,anastrozole,0
letrozole,fulvestrant,0
anastrozole,fulvestrant,0
cyclosporine,lovastatin,1
PK Merz,memantine,0
PK Merz,Memantine,0
PK Merz,memantine,0
memantine,Memantine,0
memantine,memantine,0
Memantine,memantine,0
gemcitabine,doxorubicin,1
gemcitabine,docetaxel,1
doxorubicin,docetaxel,1
dexamethasone,leptin,0
aripiprazole,valproic,1
aripiprazole,haloperidol,0
aripiprazole,valproic,0
valproic,haloperidol,0
valproic,valproic,0
haloperidol,valproic,1
ketorolac,propofol,1
vandetanib,bicalutamide,1
vandetanib,bicalutamide,0
bicalutamide,bicalutamide,0
Aspirin,Atenolol,0
Aspirin,Metformin,1
Atenolol,Metformin,1
vorinostat,oxaliplatin,1
gentamicin,doxycycline,1
aspirin,clopidogrel,1
daunorubicin,imatinib,1
daunorubicin,cytarabine,1
imatinib,cytarabine,1
cyclophosphamide,adriamycin,1
cyclophosphamide,prednisolone,1
cyclophosphamide,tamoxifen,1
adriamycin,prednisolone,1
adriamycin,tamoxifen,1
prednisolone,tamoxifen,1
epinephrine,propranolol,1
doxorubicin,epirubicin,0
physostigmine,scopolamine,0
physostigmine,mecamylamine,0
scopolamine,mecamylamine,0
lenvatinib,sorafenib,0
atezolizumab,docetaxel,0
bleomycin,triamcinolone,0
levetiracetam,topiramate,1
levetiracetam,lacosamide,1
levetiracetam,topiramate,0
topiramate,lacosamide,0
topiramate,topiramate,0
lacosamide,topiramate,0
carmofur,mitomycin,1
Obinutuzumab,Lenalidomide,1
Obinutuzumab,lenalidomide,0
Obinutuzumab,obinutuzumab,0
Lenalidomide,lenalidomide,0
Lenalidomide,obinutuzumab,0
lenalidomide,obinutuzumab,0
propranolol,pindolol,0
Nab-paclitaxel,paclitaxel,0
Nab-paclitaxel,carboplatin,0
Nab-paclitaxel,bevacizumab,0
Nab-paclitaxel,nab-paclitaxel,0
paclitaxel,carboplatin,0
paclitaxel,bevacizumab,0
paclitaxel,nab-paclitaxel,0
carboplatin,bevacizumab,1
carboplatin,nab-paclitaxel,1
bevacizumab,nab-paclitaxel,1
gentamicin,clindamycin,1
nicotinamide,isoniazid,0
pegfilgrastim,rituximab,1
aflibercept,dexamethasone,0
aflibercept,aflibercept,0
dexamethasone,aflibercept,1
paclitaxel,carboplatin,1
paclitaxel,"CP-870,893",1
carboplatin,"CP-870,893",1
paclitaxel,docetaxel,0
fenofibric,atorvastatin,1
fenofibric,rosuvastatin,1
fenofibric,simvastatin,1
atorvastatin,rosuvastatin,0
atorvastatin,simvastatin,0
rosuvastatin,simvastatin,0
lamivudine,zidovudine,1
lamivudine,zidovudine,0
zidovudine,zidovudine,0
Bradykinin,carbachol,1
gefitinib,erlotinib,0
gefitinib,PI3K/AKTis,1
erlotinib,PI3K/AKTis,1
gemcitabine,capecitabine,1
gemcitabine,dovitinib,1
capecitabine,dovitinib,1
oxaliplatin,doxorubicin,1
trebananib,cediranib,0
tamsulosin,tolterodine,1
tamsulosin,tamsulosin,0
tolterodine,tamsulosin,0
dexamethasone,quinine,0
docetaxel,paclitaxel,0
docetaxel,docetaxel,0
docetaxel,paclitaxel,0
paclitaxel,docetaxel,0
paclitaxel,paclitaxel,0
docetaxel,paclitaxel,0
prednisolone,cyclophosphamide,1
Doxifluridine,medroxyprogesterone,1
Doxifluridine,cyclophosphamide,1
medroxyprogesterone,cyclophosphamide,1
valganciclovir,ganciclovir,0
paclitaxel,cyclophosphamide,1
paclitaxel,cisplatin,1
cyclophosphamide,cisplatin,1
clonidine,yohimbine,0
clonidine,naloxone,0
yohimbine,naloxone,0
sunitinib,sorafenib,0
Seribantumab,Erlotinib,1
Trabectedin,doxorubicin,1
lumefantrine,chloroquine,0
lumefantrine,chloroquine,0
chloroquine,chloroquine,0
Estramustine,vinblastine,1
gemcitabine,carboplatin,1
bevacizumab,sunitinib,0
bevacizumab,IFN-α,1
sunitinib,IFN-α,0
selumetinib,trametinib,0
sorafenib,sunitinib,0
Naloxone,atropine,0
abiraterone,enzalutamide,0
verapamil,doxorubicin,1
vinorelbine,paclitaxel,1
docetaxel,pemetrexed,0
verapamil,nifedipine,0
verapamil,diltiazem,0
nifedipine,diltiazem,0
digoxin,verapamil,1
digoxin,diltiazem,1
verapamil,diltiazem,1
Oxaliplatin,leucovorin,1
Oxaliplatin,5-fluorouracil,1
leucovorin,5-fluorouracil,1
paclitaxel,docetaxel,0
paclitaxel,vinorelbine,1
docetaxel,vinorelbine,1
nivolumab,ipilimumab,1
atorvastatin,celecoxib,1
atorvastatin,tipifarnib,1
celecoxib,tipifarnib,1
donepezil,galantamine,0
donepezil,rivastigmine,0
donepezil,memantine,0
galantamine,rivastigmine,0
galantamine,memantine,0
rivastigmine,memantine,0
Raloxifene,tamoxifen,0
endothelin-1,bosentan,0
endothelin-1,ramipril,0
endothelin-1,bosentan,0
endothelin-1,ramipril,0
bosentan,ramipril,0
bosentan,bosentan,0
bosentan,ramipril,0
ramipril,bosentan,0
ramipril,ramipril,0
bosentan,ramipril,1
carboplatin,paclitaxel,1
ranolazine,ivabradine,0
pseudoephedrine,andrographolide,0
pseudoephedrine,chloroquine,0
pseudoephedrine,abacavir,0
pseudoephedrine,thalidomide,0
andrographolide,chloroquine,0
andrographolide,abacavir,0
andrographolide,thalidomide,0
chloroquine,abacavir,0
chloroquine,thalidomide,0
abacavir,thalidomide,0
cefuroxime,tobramycin,1
ponatinib,lapatinib,0
ponatinib,CDK7 inhibitor,1
lapatinib,CDK7 inhibitor,1
epirubicin,paclitaxel,1
Carboplatin,etoposide,1
dexamethasone,dasatinib,1
prednisone,mitoxantrone,1
imatinib,cytarabine,1
gemcitabine,capecitabine,1
doxorubicin/cisplatin,ifosfamide,1
doxorubicin/cisplatin,methotrexate,1
ifosfamide,methotrexate,1
rituximab,lamivudine,0
rituximab,tenofovir,0
lamivudine,tenofovir,1
fluorouracil-,oxaliplatin-,0
fluorouracil-,irinotecan-based,0
fluorouracil-,panitumumab,0
fluorouracil-,irinotecan,0
fluorouracil-,panitumumab,0
fluorouracil-,cetuximab,0
fluorouracil-,irinotecan,0
fluorouracil-,cetuximab,0
oxaliplatin-,irinotecan-based,0
oxaliplatin-,panitumumab,0
oxaliplatin-,irinotecan,0
oxaliplatin-,panitumumab,0
oxaliplatin-,cetuximab,0
oxaliplatin-,irinotecan,0
oxaliplatin-,cetuximab,0
irinotecan-based,panitumumab,0
irinotecan-based,irinotecan,0
irinotecan-based,panitumumab,0
irinotecan-based,cetuximab,0
irinotecan-based,irinotecan,0
irinotecan-based,cetuximab,0
panitumumab,irinotecan,1
panitumumab,panitumumab,0
panitumumab,cetuximab,0
panitumumab,irinotecan,0
panitumumab,cetuximab,0
irinotecan,panitumumab,0
irinotecan,cetuximab,0
irinotecan,irinotecan,0
irinotecan,cetuximab,0
panitumumab,cetuximab,0
panitumumab,irinotecan,0
panitumumab,cetuximab,0
cetuximab,irinotecan,1
cetuximab,cetuximab,0
irinotecan,cetuximab,0
Epirubicin,oxaliplatin,1
Epirubicin,capecitabine,1
Epirubicin,panitumumab,1
oxaliplatin,capecitabine,1
oxaliplatin,panitumumab,1
capecitabine,panitumumab,1
letrozole,tamoxifen,0
letrozole,letrozole,0
letrozole,tamoxifen,0
letrozole,letrozole,0
letrozole,tamoxifen,0
tamoxifen,letrozole,0
tamoxifen,tamoxifen,0
tamoxifen,letrozole,0
tamoxifen,tamoxifen,0
letrozole,tamoxifen,1
letrozole,letrozole,0
letrozole,tamoxifen,0
tamoxifen,letrozole,0
tamoxifen,tamoxifen,0
letrozole,tamoxifen,0
FOLFIRI,cetuximab,1
FOLFIRI,bevacizumab,0
cetuximab,bevacizumab,0
Tamoxifen,Exemestane,1
formoterol,terbutaline,1
5-FU,leucovorin,1
5-FU,oxaliplatin,1
5-FU,docetaxel,1
leucovorin,oxaliplatin,1
leucovorin,docetaxel,1
oxaliplatin,docetaxel,1
anastrozole,exemestane,0
anastrozole,letrozole,0
anastrozole,tamoxifen,0
exemestane,letrozole,0
exemestane,tamoxifen,0
letrozole,tamoxifen,0
Digoxin,gemcitabine,1
rapamycin,5-fluorouracil,1
rapamycin,oxaliplatin,1
5-fluorouracil,oxaliplatin,1
econazole,fluconazole,0
econazole,metyrapone,0
fluconazole,metyrapone,0
atezolizumab,durvalumab,0
atezolizumab,pembrolizumab,0
atezolizumab,nivolumab,0
durvalumab,pembrolizumab,0
durvalumab,nivolumab,0
pembrolizumab,nivolumab,0
Metformin,Rosiglitazone,1
curcumin,docetaxel,1
propranolol,metoprolol,0
nivolumab,regorafenib,1
chenodeoxycholic,ketoconazole,0
etoposide,vincristine,0
etoposide,mitomycin,0
vincristine,mitomycin,0
cholic,chenodeoxycholic,0
vancomycin,rifampin,1
roflumilast,tiotropium,1
rituximab,cyclosporine,0
rituximab,rituximab,0
cyclosporine,rituximab,0
cisplatin,doxorubicin,1
cisplatin,cyclophosphamide,1
doxorubicin,cyclophosphamide,1
Methotrexate,hydroxychloroquine,0
rifampin,isoniazid,0
Sorafenib,bortezomib,0
candesartan,candesartan,0
candesartan,rofecoxib,0
candesartan,rofecoxib,1
cyclophosphamide,methotrexate,1
cyclophosphamide,fluorouracil,1
methotrexate,fluorouracil,1
everolimus,alemtuzumab,1
lisinopril,captopril,0
lisinopril,lisinopril,0
captopril,lisinopril,0
Capecitabine,oxaliplatin,1
Capecitabine,fluorouracil,0
Capecitabine,cisplatin,0
oxaliplatin,fluorouracil,0
oxaliplatin,cisplatin,0
fluorouracil,cisplatin,1
dexmedetomidine,butorphanol,1
dexmedetomidine,methadone,1
dexmedetomidine,morphine,1
dexmedetomidine,tramadol,0
butorphanol,methadone,0
butorphanol,morphine,0
butorphanol,tramadol,0
methadone,morphine,0
methadone,tramadol,0
morphine,tramadol,0
melatonin,all-trans retinoic acid,1
melatonin,somatostatin,1
melatonin,melatonin,0
all-trans retinoic acid,somatostatin,1
all-trans retinoic acid,melatonin,0
somatostatin,melatonin,0
cytosine arabinoside,vincristine,1
cytosine arabinoside,prednisone,1
vincristine,prednisone,1
warfarin,rivaroxaban,0
warfarin,dabigatran,0
warfarin,apixaban,0
warfarin,edoxaban,0
rivaroxaban,dabigatran,0
rivaroxaban,apixaban,0
rivaroxaban,edoxaban,0
dabigatran,apixaban,0
dabigatran,edoxaban,0
apixaban,edoxaban,0
Celecoxib,doxorubicin,1
Celecoxib,etoposide,1
Celecoxib,irinotecan,1
Celecoxib,vincristine,0
doxorubicin,etoposide,0
doxorubicin,irinotecan,0
doxorubicin,vincristine,0
etoposide,irinotecan,0
etoposide,vincristine,0
irinotecan,vincristine,0
midostaurin,rituximab,0
imatinib,gefitinib,1
imatinib,imatinib,0
gefitinib,imatinib,0
tamoxifen,risperidone,1
tamoxifen,tamoxifen,0
risperidone,tamoxifen,0
Amoxicillin,erythromycin,1
Amoxicillin,levofloxacin,1
erythromycin,levofloxacin,1
triprolidine,pseudoephedrine,1
epirubicin,cyclophosphamide,1
epirubicin,docetaxel,1
epirubicin,epirubicin,0
epirubicin,docetaxel,0
epirubicin,capecitabine,0
cyclophosphamide,docetaxel,1
cyclophosphamide,epirubicin,0
cyclophosphamide,docetaxel,0
cyclophosphamide,capecitabine,0
docetaxel,epirubicin,0
docetaxel,docetaxel,0
docetaxel,capecitabine,0
epirubicin,docetaxel,1
epirubicin,capecitabine,1
docetaxel,capecitabine,1
paclitaxel,carboplatin,1
paclitaxel,trastuzumab,0
carboplatin,trastuzumab,0
rituximab,vinorelbine,1
rituximab,ifosfamide,1
rituximab,mitoxantrone,1
rituximab,prednisone,1
vinorelbine,ifosfamide,1
vinorelbine,mitoxantrone,1
vinorelbine,prednisone,1
ifosfamide,mitoxantrone,1
ifosfamide,prednisone,1
mitoxantrone,prednisone,1
rituximab,fludarabine,1
rituximab,cyclophosphamide,1
fludarabine,cyclophosphamide,1
anastrozole,tamoxifen,0
anastrozole,tamoxifen,0
anastrozole,anastrozole,0
tamoxifen,tamoxifen,0
tamoxifen,anastrozole,0
tamoxifen,anastrozole,0
streptozocin,doxorubicin,1
streptozocin,dacarbazine,0
doxorubicin,dacarbazine,0
fenfluramine,fluoxetine,0
Pilocarpine,carbachol,0
carboplatin,paclitaxel,1
carboplatin,bevacizumab,1
paclitaxel,bevacizumab,1
valproate,levetiracetam,0
valproate,lamotrigine,0
levetiracetam,lamotrigine,0
cyclophosphamide,doxorubicin,1
cyclophosphamide,vincristine,1
cyclophosphamide,prednisone,1
doxorubicin,vincristine,1
doxorubicin,prednisone,1
vincristine,prednisone,1
olmesartan,amlodipine,1
gemcitabine,docetaxel,1
thiotepa,topotecan,0
Cetuximab,Panitumumab,0
Cetuximab,Zalutumumab,0
Cetuximab,Gefitinib,0
Cetuximab,Bevacizumab,0
Cetuximab,Vandetanib,0
Panitumumab,Zalutumumab,0
Panitumumab,Gefitinib,0
Panitumumab,Bevacizumab,0
Panitumumab,Vandetanib,0
Zalutumumab,Gefitinib,0
Zalutumumab,Bevacizumab,0
Zalutumumab,Vandetanib,0
Gefitinib,Bevacizumab,0
Gefitinib,Vandetanib,0
Bevacizumab,Vandetanib,0
phenylephrine,vasopressin,0
phenylephrine,epinephrine,0
vasopressin,epinephrine,0
irinotecan,oxaliplatin,0
irinotecan,5-fluorouracil/folinic,1
irinotecan,5-fluorouracil/folinic,0
oxaliplatin,5-fluorouracil/folinic,0
oxaliplatin,5-fluorouracil/folinic,1
5-fluorouracil/folinic,5-fluorouracil/folinic,0
dacarbazine,carboplatin,0
dacarbazine,temozolomide,0
carboplatin,temozolomide,0
nedaplatin,leucovorin,1
nedaplatin,5-FU,1
leucovorin,5-FU,1
etanercept,adalimumab,0
etanercept,infliximab,0
adalimumab,infliximab,0
metformin,rosiglitazone,1
tenecteplase,alteplase,0
dexamethasone,ethinyl,1
phenytoin,gabapentin,0
amphotericin,flucytosine,1
amphotericin,fluconazole,0
flucytosine,fluconazole,0
rubidazone,cytosine arabinoside,1
rubidazone,vincristine,1
rubidazone,prednisone,1
cytosine arabinoside,vincristine,1
cytosine arabinoside,prednisone,1
vincristine,prednisone,1
docetaxel,pemetrexed,0
docetaxel,erlotinib,0
pemetrexed,erlotinib,0
methotrexate,5-aminosalicylic acid,1
methotrexate,azathioprine,1
5-aminosalicylic acid,azathioprine,1
gemcitabine,paclitaxel,0
gemcitabine,paclitaxel,0
gemcitabine,gemcitabine,0
paclitaxel,paclitaxel,0
paclitaxel,gemcitabine,0
paclitaxel,gemcitabine,1
phenytoin,carbamazepine,0
curcumin,doxorubicin,1
Daratumumab,Lenalidomide,1
Daratumumab,Dexamethasone,1
Lenalidomide,Dexamethasone,1
doripenem,meropenem,0
nivolumab,pembrolizumab,0
carboplatin,paclitaxel,1
carboplatin,lonafarnib,1
paclitaxel,lonafarnib,1
oxaprozin,aspirin,1
oxaprozin,aspirin,0
aspirin,aspirin,0
pyrazinamide,levofloxacin,1
griseofulvin,ketoconazole,1
Aprepitant,ondansetron,1
Aprepitant,temozolomide,0
Aprepitant,ondansetron,0
ondansetron,temozolomide,0
ondansetron,ondansetron,0
temozolomide,ondansetron,0
lenalidomide,daratumumab,1
doxorubicin,docetaxel,1
ranitidine,lansoprazole,0
cimetidine,L-carnitine,1
crenolanib,quizartinib,0
crenolanib,sorafenib,0
quizartinib,sorafenib,0
varenicline,nicotine,0
pioglitazone,sulfasalazine,1
zidovudine,zidovudine,0
zidovudine,stavudine,0
zidovudine,stavudine,0
Sorafenib,Oxaliplatin,1
Sorafenib,5-Fluorouracil,1
Sorafenib,Leucovorin,1
Oxaliplatin,5-Fluorouracil,1
Oxaliplatin,Leucovorin,1
5-Fluorouracil,Leucovorin,1
levodopa,betaine,0
levodopa,levodopa,0
levodopa,betaine,0
levodopa,levodopa,0
levodopa,benserazide,0
levodopa,levodopa,0
levodopa,betaine-benserazide,0
betaine,levodopa,0
betaine,betaine,0
betaine,levodopa,0
betaine,benserazide,0
betaine,levodopa,0
betaine,betaine-benserazide,0
levodopa,betaine,1
levodopa,levodopa,0
levodopa,benserazide,0
levodopa,levodopa,1
levodopa,betaine-benserazide,1
betaine,levodopa,0
betaine,benserazide,0
betaine,levodopa,1
betaine,betaine-benserazide,1
levodopa,benserazide,1
levodopa,levodopa,0
levodopa,betaine-benserazide,0
benserazide,levodopa,0
benserazide,betaine-benserazide,0
levodopa,betaine-benserazide,1
Cixutumumab,temsirolimus,1
amphotericin,itraconazole,1
amphotericin,itraconazole,0
amphotericin,amphotericin,0
itraconazole,itraconazole,0
itraconazole,amphotericin,0
itraconazole,amphotericin,0
pemetrexed,oxaliplatin,1
pemetrexed,bevacizumab,1
oxaliplatin,bevacizumab,1
sulfadiazine,chlorhexidine,1
stavudine,zidovudine,0
vinblastine,vincristine,0
Danazol,Anti Thymocyte Globulin,0
Danazol,Cyclosporine,0
Danazol,Cyclosporine,0
Danazol,Danazol,0
Anti Thymocyte Globulin,Cyclosporine,1
Anti Thymocyte Globulin,Cyclosporine,0
Anti Thymocyte Globulin,Danazol,0
Cyclosporine,Cyclosporine,0
Cyclosporine,Danazol,0
Cyclosporine,Danazol,1
colchicine,nifedipine,0
paclitaxel,carboplatin,1
Cyclosporine,resveratrol,1
bupivacaine,lidocaine,1
Pemetrexed,bortezomib,1
Bevacizumab,bevacizumab,0
Bevacizumab,TANIA,0
bevacizumab,TANIA,1
Goserelin,tamoxifen,1
Goserelin,cyclophosphamide,1
Goserelin,doxorubicin,1
Goserelin,5-fluorouracil,1
tamoxifen,cyclophosphamide,1
tamoxifen,doxorubicin,1
tamoxifen,5-fluorouracil,1
cyclophosphamide,doxorubicin,1
cyclophosphamide,5-fluorouracil,1
doxorubicin,5-fluorouracil,1
triazolam,cimetidine,1
melatonin,irinotecan,1
cyclophosphamide,filgrastim,1
cisplatin,gemcitabine,0
cisplatin,carboplatin,0
gemcitabine,carboplatin,1
epirubicin,paclitaxel,1
ceritinib,nivolumab,1
somatostatin,decitabine,0
somatostatin,trichostatin,0
somatostatin,somatostatin,0
decitabine,trichostatin,0
decitabine,somatostatin,0
trichostatin,somatostatin,0
famotidine,diphenhydramine,0
clonazepam,chlordiazepoxide,0
Letrozole,Alpelisib,1
bromocriptine,pyridoxine,1
trimethoprim,sulfamethoxazole,1
chloroquine,proguanil,0
chloroquine,mefloquine,0
proguanil,mefloquine,0
cisplatin,etoposide,0
cisplatin,cytarabine,0
cisplatin,cyclophosphamide,0
etoposide,cytarabine,0
etoposide,cyclophosphamide,0
cytarabine,cyclophosphamide,0
capecitabine,oxaliplatin,1
palbociclib,ribociclib,0
palbociclib,abemaciclib,0
ribociclib,abemaciclib,0
bupivacaine,tramadol,0
bevacizumab,ranibizumab,1
etoposide,prednisone,1
etoposide,vincristine,1
etoposide,cyclophosphamide,1
etoposide,doxorubicin,1
etoposide,rituximab,1
prednisone,vincristine,1
prednisone,cyclophosphamide,1
prednisone,doxorubicin,1
prednisone,rituximab,1
vincristine,cyclophosphamide,1
vincristine,doxorubicin,1
vincristine,rituximab,1
cyclophosphamide,doxorubicin,1
cyclophosphamide,rituximab,1
doxorubicin,rituximab,1
propranolol,atropine,0
Doxycycline,azithromycin,0
amantadine,reserpine,1
amantadine,reserpine,1
amantadine,alpha-methyl-p-tyrosine,1
reserpine,reserpine,0
reserpine,alpha-methyl-p-tyrosine,0
reserpine,alpha-methyl-p-tyrosine,1
curcumin,etoposide,1
Mitomycin,Vinorelbine,1
Mitomycin,Cisplatin,1
Vinorelbine,Cisplatin,1
amoxicillin,gentamicin,1
chloroquine,lopinavir,0
chloroquine,hydroxychloroquine,0
chloroquine,azithromycin,0
chloroquine,favipiravir,0
chloroquine,ribavirin,0
chloroquine,darunavir,0
chloroquine,remdesivir,0
lopinavir,hydroxychloroquine,0
lopinavir,azithromycin,0
lopinavir,favipiravir,0
lopinavir,ribavirin,0
lopinavir,darunavir,0
lopinavir,remdesivir,0
hydroxychloroquine,azithromycin,0
hydroxychloroquine,favipiravir,0
hydroxychloroquine,ribavirin,0
hydroxychloroquine,darunavir,0
hydroxychloroquine,remdesivir,0
azithromycin,favipiravir,0
azithromycin,ribavirin,0
azithromycin,darunavir,0
azithromycin,remdesivir,0
favipiravir,ribavirin,0
favipiravir,darunavir,0
favipiravir,remdesivir,0
ribavirin,darunavir,0
ribavirin,remdesivir,0
darunavir,remdesivir,0
bicalutamide,flutamide,0
bicalutamide,nilutamide,0
flutamide,nilutamide,0
vinblastine,methotrexate,1
bombesin,somatostatin,0
resveratrol,meclofenamic acid,0
resveratrol,zeaxanthin,1
meclofenamic acid,zeaxanthin,1
clindamycin,lincomycin,0
clindamycin,clindamycin,0
lincomycin,clindamycin,0
erlotinib,crizotinib,0
trastuzumab,paclitaxel,1
trastuzumab,Taxol,1
paclitaxel,Taxol,0
cyclosporin,cyclophosphamide,1
cyclosporin,corticosteroids,1
cyclophosphamide,corticosteroids,1
Bortezomib,Panobinostat,0
regorafenib,lenvatinib,1
doxycycline,ceftriaxone,0
doxycycline,amoxicillin,0
ceftriaxone,amoxicillin,0
olaparib,abiraterone,1
olaparib,abiraterone,0
abiraterone,abiraterone,0
propranolol,labetalol,0
propranolol,prazosin,0
labetalol,prazosin,0
Rivastigmine,Donepezil,0
methotrexate,cyclophosphamide,1
methotrexate,vincristine,1
methotrexate,doxorubicin,1
methotrexate,etoposide,1
methotrexate,dexamethasone,1
cyclophosphamide,vincristine,1
cyclophosphamide,doxorubicin,1
cyclophosphamide,etoposide,1
cyclophosphamide,dexamethasone,1
vincristine,doxorubicin,1
vincristine,etoposide,1
vincristine,dexamethasone,1
doxorubicin,etoposide,1
doxorubicin,dexamethasone,1
etoposide,dexamethasone,1
etoposide,doxorubicin,0
tamsulosin,meloxicam,1
doxorubicin,etoposide,1
doxorubicin,cisplatinum,1
etoposide,cisplatinum,1
simvastatin,ezetimibe,1
dacarbazine,nimustine,1
dacarbazine,vincristine,1
dacarbazine,cisplatin,1
nimustine,vincristine,1
nimustine,cisplatin,1
vincristine,cisplatin,1
Ara-C,mitoxantrone,1
Ara-C,etoposide,1
mitoxantrone,etoposide,1
cisplatin,CDDP,0
cisplatin,doxorubicin,0
cisplatin,DXR,0
cisplatin,etoposide,0
cisplatin,VP-16,0
CDDP,doxorubicin,0
CDDP,DXR,0
CDDP,etoposide,0
CDDP,VP-16,0
doxorubicin,DXR,0
doxorubicin,etoposide,0
doxorubicin,VP-16,0
DXR,etoposide,0
DXR,VP-16,0
etoposide,VP-16,0
cyclophosphamide,alvocidib,1
cyclophosphamide,rituximab,1
alvocidib,rituximab,1
desmoteplase,tenecteplase,0
cyclophosphamide,doxorubicin,1
cyclophosphamide,etoposide,1
doxorubicin,etoposide,1
cytisine,mecamylamine,0
cytisine,scopolamine,0
cytisine,ketanserin,0
mecamylamine,scopolamine,0
mecamylamine,ketanserin,0
scopolamine,ketanserin,0
carboplatin,etoposide,1
carboplatin,ifosfamide,1
etoposide,ifosfamide,1
Aspirin,tamoxifen,0
cefotaxime,metronidazole,1
CD DP,leucovorin,1
CD DP,etoposide,1
CD DP,doxorubicin,1
CD DP,5-FU,1
leucovorin,etoposide,1
leucovorin,doxorubicin,1
leucovorin,5-FU,1
etoposide,doxorubicin,1
etoposide,5-FU,1
doxorubicin,5-FU,1
bleomycin,etoposide,1
bleomycin,doxorubicin,1
bleomycin,cyclophosphamide,1
bleomycin,vincristine,1
bleomycin,procarbazine,1
bleomycin,prednisolone,1
etoposide,doxorubicin,1
etoposide,cyclophosphamide,1
etoposide,vincristine,1
etoposide,procarbazine,1
etoposide,prednisolone,1
doxorubicin,cyclophosphamide,1
doxorubicin,vincristine,1
doxorubicin,procarbazine,1
doxorubicin,prednisolone,1
cyclophosphamide,vincristine,1
cyclophosphamide,procarbazine,1
cyclophosphamide,prednisolone,1
vincristine,procarbazine,1
vincristine,prednisolone,1
procarbazine,prednisolone,1
doxorubicin,cyclophosphamide,1
doxorubicin,doxorubicin,0
doxorubicin,cyclophosphamide,0
cyclophosphamide,doxorubicin,0
cyclophosphamide,cyclophosphamide,0
doxorubicin,cyclophosphamide,1
cyclophosphamide,doxorubicin,1
cyclophosphamide,vincristine,1
cyclophosphamide,cisplatin,1
cyclophosphamide,etoposide,1
doxorubicin,vincristine,1
doxorubicin,cisplatin,1
doxorubicin,etoposide,1
vincristine,cisplatin,1
vincristine,etoposide,1
cisplatin,etoposide,1
Cyclophosphamide,methotrexate,1
Cyclophosphamide,5-fluorouracil,1
Cyclophosphamide,folinic acid,1
methotrexate,5-fluorouracil,1
methotrexate,folinic acid,1
5-fluorouracil,folinic acid,1
rosuvastatin,rosuvastatin,0
rosuvastatin,fenofibrate,0
rosuvastatin,fenofibrate,1
bupivacaine,bupivacaine,0
bupivacaine,triamcinolone,0
bupivacaine,bupivacaine,0
bupivacaine,triamcinolone,0
bupivacaine,triamcinolone,1
bupivacaine,bupivacaine,0
bupivacaine,triamcinolone,0
triamcinolone,bupivacaine,0
triamcinolone,triamcinolone,0
bupivacaine,triamcinolone,1
Irinotecan,etoposide,1
Irinotecan,irinotecan,0
Irinotecan,etoposide,0
etoposide,irinotecan,0
etoposide,etoposide,0
irinotecan,etoposide,1
sofosbuvir,pegylated-interferon,1
sofosbuvir,ribavirin,1
pegylated-interferon,ribavirin,1
Cyclosporin,Azathioprine,1
sunitinib,interferon alfa,0
doxorubicin,etoposide,0
aspirin,warfarin,0
aspirin,clopidogrel,0
aspirin,clopidogrel,0
aspirin,aspirin,0
warfarin,clopidogrel,0
warfarin,clopidogrel,0
warfarin,aspirin,0
clopidogrel,clopidogrel,0
clopidogrel,aspirin,0
clopidogrel,aspirin,0
doxorubicin,etoposide,0
efavirenz,etravirine,0
KPT-8602,dexamethasone,1
KPT-8602,vincristine,1
KPT-8602,doxorubicin,1
dexamethasone,vincristine,0
dexamethasone,doxorubicin,0
vincristine,doxorubicin,0
artesunate,artemether,0
lidocaine,fentanyl,1
lidocaine,ropivacaine,0
lidocaine,fentanyl,0
fentanyl,ropivacaine,0
fentanyl,fentanyl,0
ropivacaine,fentanyl,1
chloroquine,dexamethasone,0
chloroquine,methotrexate,0
chloroquine,vinblastine,0
dexamethasone,methotrexate,0
dexamethasone,vinblastine,0
methotrexate,vinblastine,0
iloprost,bosentan,1
iloprost,sildenafil,1
bosentan,sildenafil,1
sulbactam,piperacillin,1
sulbactam,sulbactam,0
piperacillin,sulbactam,0
doxorubicin,cisplatin,0
doxorubicin,etoposide,0
cisplatin,etoposide,0
oxaliplatin,leucovorin,1
oxaliplatin,5-fluorouracil,1
leucovorin,5-fluorouracil,1
dapagliflozin,sulfonylurea,0
dapagliflozin,metformin,1
sulfonylurea,metformin,0
latanoprost,timolol,0
latanoprost,brimonidine,0
latanoprost,dorzolamide,0
latanoprost,bimatoprost,0
latanoprost,travoprost,0
timolol,brimonidine,0
timolol,dorzolamide,0
timolol,bimatoprost,0
timolol,travoprost,0
brimonidine,dorzolamide,0
brimonidine,bimatoprost,0
brimonidine,travoprost,0
dorzolamide,bimatoprost,0
dorzolamide,travoprost,0
bimatoprost,travoprost,0
dronedarone,amiodarone,0
iguratimod,methotrexate,1
Cyclophosphamide,doxorubicin,1
Cyclophosphamide,vincristine,1
Cyclophosphamide,prednisone,1
Cyclophosphamide,cyclophosphamide,0
Cyclophosphamide,vincristine,0
Cyclophosphamide,doxorubicin,0
Cyclophosphamide,etoposide,0
